"word"	"subject"	"session"	"trial"	"age"	"gender"	"hand"	"origin"	"dialect"	"diploma"	"word_status"	"response"	"RT"	"stem"	"RTprev"	"transcription"	"Nphonemes"	"word_class"	"regularity"	"inflected"	"lip"	"lip.ms"	"fip"	"fip.ms"	"Nletters"	"Nstem_syllables"	"Nword_syllables"	"stressed_syll"	"initial_stress"	"final_stress"	"morph_classification"	"word_duration"	"tense"	"number"	"person"	"CELEX_form_freq"	"CELEX_lemma_freq"	"CGN_form_freq"	"CGN_lemma_freq"	"rating"	"word_unknown"	"meaning_unknown"	"affix"	"stem1"	"stem2"	"compound_type"	"CELEX_form_freq_stem1"	"CELEX_lemma_freq_stem1"	"CELEX_form_freq_stem2"	"CELEX_lemma_freq_stem2"	"X"	"one_compound"	"one_prefix"	"one_suffix"	"one_inflection"	"one_circumfix"	"fip_length"	"rcp"	"cob"	"stem_cob"	"include"	"CELEXform_freq"	"CELEXstem_freq"	"CELEXen_form_freq"	"en"	"s"	"only_suffix"	"logCELEXform_freq"	"logCELEXstem_freq"	"logCELEXen_form_freq"	"logRT"	"logRTprev"	"logword_duration"	"logtrial"	"lookup"	"decomp"	"pnlty"	"penalty"	"logSTMfreq"	"logFRMfreq"	"logSTMorFRMfreq"	"logRTprev_c"	"logword_duration_c"	"logtrial_c"	"logSTMfreq_c"	"logFRMfreq_c"	"logSTMorFRMfreq_c"	"logPLfreq"	"groups"
"26815"	"schijven"	"s17"	3	128	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"correct"	1417	"schijf"	1125	"sxKv@"	5	"nom"	"-"	"yes"	"sxKv"	"0.54"	"sxKv@"	"0.63"	8	"2"	2	"sxK"	"yes"	"no"	"underived"	647	"-"	"plur"	"-"	210	0	3	1	4.09333333333	"1"	"1"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	5	"sxKv"	"210.0"	"331.0"	NA	210	331	0	1	0	"en"	5.35185813347607	5.80513496891649	0	7.25700270709207	7.02642680869964	6.47389069635227	4.85981240436167	0	1	1	1	5.80513496891649	0	5.35185813347607	-0.054920062091794	0.194103717045428	-0.47617895635845	-2.07178053097904	-3.07035847248969	-1.58116475722848	0	"pl_sgDom"
"26836"	"fontein"	"s17"	3	149	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"correct"	1219	"fontein"	1235	"fOntKn"	6	"nom"	"-"	"yes"	"fOntK"	"0.55"	"fOntKn"	"0.67"	7	"2"	2	"tKn"	"no"	"yes"	"underived"	685	"-"	"sing"	"-"	235	386	25	62	4.05333333333	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	6	"fOntKn"	"235.0"	"235.0"	NA	235	235	235	1	0	"-"	5.46383180502561	5.46383180502561	4.77068462446567	7.1066061377273	7.11963563801764	6.53087762772588	5.01063529409626	1	0	0	0	5.46383180502561	5.46383180502561	5.46383180502561	0.0382887672262058	0.251090648419038	-0.325356066623867	-2.41308369486992	2.39347333253592	-1.46919108567894	5.46383180502561	"sg_plDom"
"26890"	"maten"	"s17"	3	203	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"correct"	1157	"maat"	1006	"mat@"	4	"nom"	"-"	"yes"	"[end]"	"0.42"	"mat@"	"0.48"	5	"2"	2	"ma"	"yes"	"no"	"underived"	497	"past"	"plur"	"1,2"	443	0	28	382	4.92	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"mat"	"27.0"	"0.0"	NA	658341627	891162	0	1	0	"en"	20.3052345460457	13.7002826302376	0	7.05444965813294	6.91473089271856	6.21060007702465	5.31811999384422	0	1	1	1	13.7002826302376	0	20.3052345460457	-0.166615978072867	-0.069186902282194	-0.0178713668759061	5.82336713034211	-3.07035847248969	13.3722116553411	0	"pl_sgDom"
"26894"	"likeur"	"s17"	3	207	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"correct"	977	"likeur"	1221	"lik|r"	5	"nom"	"-"	"yes"	"lik2"	"0.417"	"lik|"	"0.417"	6	"2"	2	"k|r"	"no"	"yes"	"underived"	579	"-"	"sing"	"-"	117	221	3	7	4.18666666667	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"lik|r"	"117.0"	"117.0"	NA	117	117	117	1	0	"-"	4.77068462446567	4.77068462446567	4.57471097850338	6.88550967003482	7.10824413973154	6.36302810354046	5.33753807970132	1	0	0	0	4.77068462446567	4.77068462446567	4.77068462446567	0.026897268940111	0.0832411242336182	0.00154671898119574	-3.10623087542987	1.70032615197598	-2.16233826623889	4.77068462446567	"sg_plDom"
"26920"	"tsaar"	"s17"	3	234	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"correct"	1298	"tsaar"	966	"tsar"	4	"nom"	"-"	"yes"	"tsa"	"0.347"	"tsa"	"0.347"	5	"1"	1	"tsar"	"yes"	"yes"	"underived"	473	"-"	"sing"	"-"	233	275	6	9	2.68	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	3	"tsar"	"233.0"	"233.0"	NA	233	233	233	1	0	"-"	5.4553211153577	5.4553211153577	3.76120011569356	7.1693500166706	6.87419849545329	6.16120732169508	5.45958551414416	1	0	0	0	5.4553211153577	5.4553211153577	5.4553211153577	-0.207148375338136	-0.11857965761177	0.123594153424037	-2.42159438453783	2.38496264286802	-1.47770177534685	5.4553211153577	"sg_plDom"
"26921"	"raaf"	"s17"	3	235	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"correct"	1057	"raaf"	1298	"raf"	3	"nom"	"-"	"yes"	"[end]"	"0.57"	"raf"	"0.57"	4	"1"	1	"raf"	"yes"	"yes"	"underived"	590	"-"	"sing"	"-"	125	251	6	10	3.36	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	3	"raf"	"125.0"	"125.0"	NA	125	125	125	1	0	"-"	4.83628190695148	4.83628190695148	4.84418708645859	6.96413561241824	7.1693500166706	6.3818160174061	5.46383180502561	1	0	0	0	4.83628190695148	4.83628190695148	4.83628190695148	0.0880031458791697	0.102029038099252	0.127840444305488	-3.04063359294405	1.76592343446179	-2.09674098375307	4.83628190695148	"sg_plDom"
"26967"	"snauw"	"s17"	3	281	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"correct"	1219	"snauw"	1540	"snMw"	4	"nom"	"-"	"yes"	"snM"	"0.417"	"snM"	"0.417"	5	"1"	1	"snMw"	"yes"	"yes"	"underived"	481	"present"	"sing"	"1,2"	32	24	1	1	3.54666666667	"1"	"1"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	3	"snMw"	"0.0"	"0.0"	NA	24404	24404	24404	1	0	"-"	10.1025433083212	10.1025433083212	7.7510451179718	7.1066061377273	7.34018683532012	6.1779441140506	5.64190707093811	1	0	0	0	10.1025433083212	10.1025433083212	10.1025433083212	0.258839964528685	-0.101842865256247	0.305915710217992	2.22562780842572	7.03218483583156	3.1695204176167	10.1025433083212	"sg_plDom"
"27026"	"dril"	"s17"	3	341	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"incorrect"	1083	"dril"	1007	"drIl"	4	"nom"	"-"	"yes"	"drIl"	"0.47"	"drIl"	"0.47"	4	"1"	1	"drIl"	"yes"	"yes"	"underived"	492	"present"	"sing"	"1,2"	18	18	0	0	2.94666666667	"1"	"2"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"drIl"	"0.0"	"0.0"	NA	14130	14130	14130	1	0	"-"	9.55612624458275	9.55612624458275	6.56244409369372	6.98841318199959	6.91572344863131	6.20050917404269	5.8348107370626	1	0	0	0	9.55612624458275	9.55612624458275	9.55612624458275	-0.165623422160116	-0.079277805264157	0.498819376342483	1.67921074468721	6.48576777209306	2.6231033538782	9.55612624458275	"sg_plDom"
"27069"	"kannen"	"s17"	3	384	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"incorrect"	1015	"kan"	1195	"kAn@"	4	"nom"	"-"	"yes"	"[end]"	"0.17"	"kAn@"	"0.25"	6	"2"	2	"kA"	"yes"	"no"	"underived"	273	"-"	"plur"	"-"	64	0	4	117	4.08	"1"	"1"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"kAn"	"64.0"	"0.0"	NA	64	2.32232322302322e+20	0	1	0	"en"	4.17438726989564	46.8942699337376	0	6.92362862813843	7.08673793451058	5.61312810638807	5.95324333428778	0	1	1	1	46.8942699337376	0	4.17438726989564	0.00539106371914677	-0.666658872918776	0.617251973567662	39.017354433842	-3.07035847248969	-2.75863562080891	0	"pl_sgDom"
"27100"	"vandalen"	"s17"	3	415	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"correct"	1146	"vandaal"	1107	"vAndal@"	7	"nom"	"-"	"yes"	"vAndal"	"0.59"	"vAndal@"	"0.65"	8	"3"	3	"da"	"no"	"no"	"underived"	667	"-"	"plur"	"-"	68	0	3	4	4.28	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	7	"vAndal"	"68.0"	"9.0"	NA	68	9	0	1	0	"en"	4.23410650459726	2.30258509299405	0	7.04490511712937	7.01031186730723	6.50428817353665	6.03068526026126	0	1	1	1	2.30258509299405	0	4.23410650459726	-0.0710350034842007	0.224501194229799	0.694693899541141	-5.57433040690149	-3.07035847248969	-2.69891638610729	0	"pl_sgDom"
"27104"	"binten"	"s17"	3	419	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"incorrect"	1245	"bint"	1131	"bInt@"	5	"nom"	"-"	"yes"	"bInt"	"0.4"	"bInt@"	"0.47"	6	"2"	2	"bIn"	"yes"	"no"	"underived"	494	"-"	"plur"	"-"	11	0	1	1	2.17333333333	"11"	"19"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	5	"bInt"	"11.0"	"11.0"	NA	11	2727989811	0	1	0	"en"	2.484906649788	21.7268308423165	0	7.1276936993474	7.03174125876313	6.20455776256869	6.04025471127741	0	1	1	1	21.7268308423165	0	2.484906649788	-0.0496056120283015	-0.0752292167381565	0.704263350557292	13.849915342421	-3.07035847248969	-4.44811624091655	0	"pl_sgDom"
"27186"	"moord"	"s17"	3	502	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"correct"	1308	"moord"	918	"mort"	4	"nom"	"-"	"yes"	"mord"	"0.53"	"mort"	"0.53"	5	"1"	1	"mort"	"yes"	"yes"	"underived"	546	"present"	"sing"	"1,2"	1609	1888	127	174	5.45333333333	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"mort"	"0.0"	"71.0"	NA	16090066	16090066	16090066	1	0	"-"	16.593712683037	16.593712683037	20.5573623297514	7.1770187659099	6.82328612235569	6.30444880242198	6.22059017009974	1	0	0	0	16.593712683037	16.593712683037	16.593712683037	-0.258060748435743	0.0246618231151343	0.884598809379617	8.71679718314143	13.5233542105473	9.66068979233241	16.593712683037	"sg_plDom"
"27212"	"torren"	"s17"	3	528	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"correct"	1050	"tor"	1049	"tOr@"	4	"nom"	"-"	"yes"	"[end]"	"0.19"	"tOr@"	"0.28"	6	"2"	2	"tO"	"yes"	"no"	"underived"	303	"-"	"plur"	"-"	32	0	1	5	3.21333333333	"1"	"1"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"tOr"	"32.0"	"111.0"	NA	32	111	0	1	0	"en"	3.49650756146648	4.71849887129509	0	6.95749737087695	6.95654544315157	5.71702770140622	6.2709884318583	0	1	1	1	4.71849887129509	0	3.49650756146648	-0.124801427639861	-0.562759277900625	0.934997071138177	-3.15841662860044	-3.07035847248969	-3.43651532923807	0	"pl_sgDom"
"27216"	"orkanen"	"s17"	3	532	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"correct"	1001	"orkaan"	1138	"Orkan@"	6	"nom"	"-"	"yes"	"Orkan"	"0.55"	"Orkan@"	"0.63"	7	"3"	3	"ka"	"no"	"no"	"underived"	651	"-"	"plur"	"-"	33	0	1	10	4.34666666667	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	6	"Orkan"	"33.0"	"118.0"	NA	33	118	0	1	0	"en"	3.52636052461616	4.77912349311153	0	6.90975328164481	7.03790596344718	6.48004456192665	6.27852142416584	0	1	1	1	4.77912349311153	0	3.52636052461616	-0.0434409073442481	0.200257582619806	0.942530063445722	-3.097792006784	-3.07035847248969	-3.40666236608839	0	"pl_sgDom"
"27227"	"forellen"	"s17"	3	543	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"correct"	938	"forel"	1307	"forEl@"	6	"nom"	"-"	"yes"	"fOrE"	"0.417"	"forEl@"	"0.56"	8	"3"	3	"rE"	"no"	"no"	"underived"	577	"-"	"plur"	"-"	41	0	4	4	3.29333333333	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	6	"forEl"	"41.0"	"91.0"	NA	41	91	0	1	0	"en"	3.73766961828337	4.52178857704904	0	6.84481547920826	7.17625453201714	6.35957386867238	6.29894924685594	0	1	1	1	4.52178857704904	0	3.73766961828337	0.0949076612257143	0.0797868893655309	0.96295788613582	-3.35512692284649	-3.07035847248969	-3.19535327242118	0	"pl_sgDom"
"27229"	"sfinxen"	"s17"	3	545	20	"male"	"right"	"noord-brabant"	"Beek_en_Donks"	"propedeuse"	"word"	"incorrect"	1279	"sfinx"	1060	"sfINks@"	7	"nom"	"-"	"yes"	"sfINs"	"0.39"	"sfINks@"	"0.6"	7	"2"	2	"sfINk"	"yes"	"no"	"underived"	617	"-"	"plur"	"-"	12	0	0	9	2.21333333333	"0"	"2"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	7	"sfINks"	"12.0"	"52.0"	NA	12	52	0	1	0	"en"	2.56494935746154	3.97029191355212	0	7.15461535691366	6.96696713861398	6.42648845745769	6.30261897574491	0	1	1	1	3.97029191355212	0	2.56494935746154	-0.114379732177447	0.146701478150844	0.966627615024783	-3.90662358634341	-3.07035847248969	-4.36807353324301	0	"pl_sgDom"
"27272"	"orkanen"	"s18"	3	28	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1280	"orkaan"	1639	"Orkan@"	6	"nom"	"-"	"yes"	"Orkan"	"0.55"	"Orkan@"	"0.63"	7	"3"	3	"ka"	"no"	"no"	"underived"	651	"-"	"plur"	"-"	33	0	1	10	4.34666666667	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	6	"Orkan"	"33.0"	"118.0"	NA	33	118	0	1	0	"en"	3.52636052461616	4.77912349311153	0	7.15539630189673	7.40245152081824	6.48004456192665	3.36729582998647	0	1	1	1	4.77912349311153	0	3.52636052461616	0.321104650026814	0.200257582619806	-1.96869553073365	-3.097792006784	-3.07035847248969	-3.40666236608839	0	"pl_sgDom"
"27273"	"klonten"	"s18"	3	29	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1434	"klont"	1280	"klOnt@"	6	"nom"	"-"	"yes"	"klOn"	"0.3"	"klOnt@"	"0.48"	7	"2"	2	"klOn"	"yes"	"no"	"underived"	500	"-"	"plur"	"-"	28	0	1	5	3.88	"2"	"2"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	6	"klOnt"	"28.0"	"41.0"	NA	28	41	0	1	0	"en"	3.36729582998647	3.73766961828337	0	7.26892012819372	7.15539630189673	6.21660610108486	3.40119738166216	0	1	1	1	3.73766961828337	0	3.36729582998647	0.0740494311053039	-0.0631808782219823	-1.93479397905797	-4.13924588161216	-3.07035847248969	-3.56572706071808	0	"pl_sgDom"
"27301"	"klassen"	"s18"	3	57	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1181	"klas"	1539	"klAs@"	5	"nom"	"-"	"yes"	"[end]"	"0.32"	"klAs@"	"0.42"	7	"2"	2	"klA"	"yes"	"no"	"underived"	443	"-"	"plur"	"-"	682	0	141	112	5.02666666667	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	5	"klAs"	"341.0"	"1373.0"	NA	1373341341	1683	0	1	0	"en"	21.0405125431761	7.42892719480227	0	7.07496319796604	7.33953769540767	6.09582456243222	4.06044301054642	0	1	1	1	7.42892719480227	0	21.0405125431761	0.258190824616245	-0.183962416874622	-1.2755483501737	-0.44798830509326	-3.07035847248969	14.1074896524716	0	"pl_sgDom"
"27337"	"moord"	"s18"	3	93	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1283	"moord"	1362	"mort"	4	"nom"	"-"	"yes"	"mord"	"0.53"	"mort"	"0.53"	5	"1"	1	"mort"	"yes"	"yes"	"underived"	546	"present"	"sing"	"1,2"	1609	1888	127	174	5.45333333333	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"mort"	"0.0"	"71.0"	NA	16090066	16090066	16090066	1	0	"-"	16.593712683037	16.593712683037	20.5573623297514	7.15773548424991	7.21744343169653	6.30444880242198	4.54329478227	1	0	0	0	16.593712683037	16.593712683037	16.593712683037	0.136096560905103	0.0246618231151343	-0.792696578450118	8.71679718314143	13.5233542105473	9.66068979233241	16.593712683037	"sg_plDom"
"27386"	"kannen"	"s18"	3	143	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1536	"kan"	1058	"kAn@"	4	"nom"	"-"	"yes"	"[end]"	"0.17"	"kAn@"	"0.25"	6	"2"	2	"kA"	"yes"	"no"	"underived"	273	"-"	"plur"	"-"	64	0	4	117	4.08	"1"	"1"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"kAn"	"64.0"	"0.0"	NA	64	2.32232322302322e+20	0	1	0	"en"	4.17438726989564	46.8942699337376	0	7.3375877435386	6.96508034560141	5.61312810638807	4.969813299576	0	1	1	1	46.8942699337376	0	4.17438726989564	-0.116266525190023	-0.666658872918776	-0.366178061144121	39.017354433842	-3.07035847248969	-2.75863562080891	0	"pl_sgDom"
"27415"	"rampen"	"s18"	3	172	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1391	"ramp"	1114	"rAmp@"	5	"nom"	"-"	"yes"	"rAmp"	"0.42"	"rAmp@"	"0.53"	6	"2"	2	"rAm"	"yes"	"no"	"underived"	551	"-"	"plur"	"-"	248	0	22	1	4.90666666667	"1"	"1"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	5	"rAmp"	"248.0"	"801.0"	NA	248	801	0	1	0	"en"	5.51745289646471	6.68710860786651	0	7.23849684089437	7.01660968389422	6.31354804627709	5.15329159449778	0	1	1	1	6.68710860786651	0	5.51745289646471	-0.0647371868972106	0.0337610669702482	-0.182699766222343	-1.18980689202902	-3.07035847248969	-1.41556999423984	0	"pl_sgDom"
"27416"	"blaas"	"s18"	3	173	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1217	"blaas"	1391	"blas"	4	"nom"	"-"	"yes"	"blas"	"0.56"	"blas"	"0.56"	5	"1"	1	"blas"	"yes"	"yes"	"underived"	576	"present"	"sing"	"1,2"	253	223	7	28	4.78666666667	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"blas"	"8.0"	"8.0"	NA	27191827	27191827	27191827	1	0	"-"	17.1184270449483	17.1184270449483	18.82777949028	7.10496544826984	7.23849684089437	6.3578422665081	5.15905529921453	1	0	0	0	17.1184270449483	17.1184270449483	17.1184270449483	0.157149970102935	0.078055287201253	-0.176936061505593	9.24151154505273	14.0480685724586	10.1854041542437	17.1184270449483	"sg_plDom"
"27432"	"ponten"	"s18"	3	189	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"incorrect"	900	"pont"	1770	"pOnt@"	5	"nom"	"-"	"yes"	"[end]"	"0.29"	"pOnt@"	"0.4"	6	"2"	2	"pOn"	"yes"	"no"	"underived"	416	"-"	"plur"	"-"	6	0	0	0	2.54666666667	"11"	"13"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	5	"pOnt"	"6.0"	"164.0"	NA	6	564164	0	1	0	"en"	1.94591014905531	13.2431020408863	0	6.80350525760834	7.47929963778283	6.0330862217988	5.24702407216049	0	1	1	1	13.2431020408863	0	1.94591014905531	0.397952766991404	-0.246700757508045	-0.088967288559636	5.36618654099081	-3.07035847248969	-4.98711274164924	0	"pl_sgDom"
"27476"	"schild"	"s18"	3	234	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1201	"schild"	1651	"sxIlt"	5	"nom"	"-"	"yes"	"sxIld"	"0.62"	"sxIlt"	"0.62"	6	"1"	1	"sxIlt"	"yes"	"yes"	"underived"	639	"-"	"sing"	"-"	286	286	19	26	4.12	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	5	"sxIlt"	"286.0"	"286.0"	NA	28633	28633	28633	1	0	"-"	10.2623501019203	10.2623501019203	12.5949509500339	7.09174211509515	7.40974195408092	6.46146817635372	5.45958551414416	1	0	0	0	10.2623501019203	10.2623501019203	10.2623501019203	0.328395083289493	0.181681197046871	0.123594153424037	2.38543460202474	7.19199162943059	3.32932721121572	10.2623501019203	"sg_plDom"
"27521"	"smokkel"	"s18"	3	279	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1590	"smokkel"	1351	"smOk@l"	6	"nom"	"-"	"yes"	"smOk@"	"0.467"	"smOk@l"	"0.56"	7	"2"	2	"smO"	"yes"	"no"	"underived"	577	"present"	"sing"	"1,2"	33	27	7	8	4.02666666667	"1"	"1"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	6	"smOk@l"	"3.0"	"68.0"	NA	2733	2733	2733	1	0	"-"	7.91352101728389	7.91352101728389	8.83477381421388	7.37211802833779	7.20934025660291	6.35957386867238	5.63478960316925	1	0	0	0	7.91352101728389	7.91352101728389	7.91352101728389	0.12799338581148	0.0797868893655309	0.298798242449127	0.036605517388363	4.84316254479421	0.980498126579344	7.91352101728389	"sg_plDom"
"27529"	"ivoor"	"s18"	3	287	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1338	"ivoor"	1538	"ivor"	4	"nom"	"-"	"yes"	"iv"	"0.22"	"ivo"	"0.407"	5	"2"	2	"vor"	"no"	"yes"	"underived"	548	"-"	"sing"	"-"	121	121	2	3	3.37333333333	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	3	"ivor"	"0.0"	"0.0"	NA	121	121	121	1	0	"-"	4.80402104473326	4.80402104473326	4.99721227376411	7.19967834569117	7.33888813383888	6.30809844150953	5.66296048013595	1	0	0	0	4.80402104473326	4.80402104473326	4.80402104473326	0.257541263047449	0.0283114622026837	0.326969119415824	-3.07289445516227	1.73366257224357	-2.12900184597129	4.80402104473326	"sg_plDom"
"27550"	"vaart"	"s18"	3	308	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	2391	"vaart"	1663	"vart"	4	"nom"	"-"	"yes"	"vart"	"0.66"	"vart"	"0.66"	5	"1"	1	"vart"	"yes"	"yes"	"underived"	676	"present"	"sing"	"2,3"	1239	1025	57	73	4.45333333333	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"vart"	"0.0"	"0.0"	NA	123123993	123123993	123123993	1	0	"-"	18.6287024868648	18.6287024868648	3.52636052461616	7.77988511507052	7.41697962138115	6.51767127291227	5.73334127689775	1	0	0	0	18.6287024868648	18.6287024868648	18.6287024868648	0.335632750589724	0.237884293605428	0.397349916177624	10.7517869869692	15.5583440143751	11.6956795961602	18.6287024868648	"sg_plDom"
"27698"	"bokalen"	"s18"	3	458	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1100	"bokaal"	1021	"bokal@"	6	"nom"	"-"	"yes"	"bok"	"0.29"	"bokal@"	"0.62"	7	"3"	3	"ka"	"no"	"no"	"underived"	642	"-"	"plur"	"-"	20	0	5	9	2.96	"1"	"6"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	6	"bokal"	"20.0"	"51.0"	NA	20	51	0	1	0	"en"	3.04452243772342	3.95124371858143	0	7.00397413672268	6.92951677076365	6.46614472423762	6.12905021006055	0	1	1	1	3.95124371858143	0	3.04452243772342	-0.15183010002778	0.186357744930772	0.793058849340423	-3.9256717813141	-3.07035847248969	-3.88850045298113	0	"pl_sgDom"
"27715"	"bussen"	"s18"	3	475	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1287	"bus"	1665	"b}s@"	4	"nom"	"-"	"yes"	"[end]"	"0.35"	"b}s@"	"0.43"	6	"2"	2	"b}"	"yes"	"no"	"underived"	450	"-"	"plur"	"-"	297	0	102	1	5.6	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"b}s"	"75.0"	"690.0"	NA	75222	1473690	0	1	0	"en"	11.2282123142389	14.2032806961053	0	7.1608459066643	7.41818082272679	6.11146733950268	6.16541785423142	0	1	1	1	14.2032806961053	0	11.2282123142389	0.336833951935358	-0.168319639804168	0.829426493511298	6.32636519620975	-3.07035847248969	4.29518942353431	0	"pl_sgDom"
"27734"	"contacten"	"s18"	3	494	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1195	"contact"	1455	"kOntAkt@"	8	"nom"	"-"	"yes"	"kOntAk"	"0.41"	"kOntAkt@"	"0.59"	9	"3"	3	"tAk"	"no"	"no"	"underived"	607	"-"	"plur"	"-"	1455	0	141	917	5.38666666667	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	8	"kOntAkt"	"1455.0"	"5303.0"	NA	1455	5303	0	1	0	"en"	7.28344822875663	8.5762165318657	0	7.08673793451058	7.28344822875663	6.41017488196617	6.20455776256869	0	1	1	1	8.5762165318657	0	7.28344822875663	0.202101357965201	0.13038790265932	0.868566401848568	0.699301031970167	-3.07035847248969	0.350425338052081	0	"pl_sgDom"
