"word"	"subject"	"session"	"trial"	"age"	"gender"	"hand"	"origin"	"dialect"	"diploma"	"word_status"	"response"	"RT"	"stem"	"RTprev"	"transcription"	"Nphonemes"	"word_class"	"regularity"	"inflected"	"lip"	"lip.ms"	"fip"	"fip.ms"	"Nletters"	"Nstem_syllables"	"Nword_syllables"	"stressed_syll"	"initial_stress"	"final_stress"	"morph_classification"	"word_duration"	"tense"	"number"	"person"	"CELEX_form_freq"	"CELEX_lemma_freq"	"CGN_form_freq"	"CGN_lemma_freq"	"rating"	"word_unknown"	"meaning_unknown"	"affix"	"stem1"	"stem2"	"compound_type"	"CELEX_form_freq_stem1"	"CELEX_lemma_freq_stem1"	"CELEX_form_freq_stem2"	"CELEX_lemma_freq_stem2"	"X"	"one_compound"	"one_prefix"	"one_suffix"	"one_inflection"	"one_circumfix"	"fip_length"	"rcp"	"cob"	"stem_cob"	"include"	"CELEXform_freq"	"CELEXstem_freq"	"CELEXen_form_freq"	"en"	"s"	"only_suffix"	"logCELEXform_freq"	"logCELEXstem_freq"	"logCELEXen_form_freq"	"logRT"	"logRTprev"	"logword_duration"	"logtrial"	"lookup"	"decomp"	"pnlty"	"penalty"	"logSTMfreq"	"logFRMfreq"	"logSTMorFRMfreq"	"logRTprev_c"	"logword_duration_c"	"logtrial_c"	"logSTMfreq_c"	"logFRMfreq_c"	"logSTMorFRMfreq_c"	"logPLfreq"	"groups"
"377"	"lunch"	"s1"	1	380	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	766	"lunch"	1475	"l}nS"	4	"nom"	"-"	"yes"	"lYn"	"0.28"	"l}nS"	"0.54"	5	"1"	1	"l}nS"	"yes"	"yes"	"underived"	557	"present"	"sing"	"1,2"	525	543	52	76	5.64	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"l}nS"	"0.0"	"0.0"	NA	5250	5250	5250	1	0	"-"	8.56617381363786	8.56617381363786	11.51283546092	6.64248680136726	7.29709100516042	6.32435896238131	5.9427993751267	1	0	0	0	8.56617381363786	8.56617381363786	8.56617381363786	0.215744134368988	0.044571983074464	0.606808014406579	0.689258313742327	5.49581534114817	1.63315092293331	8.56617381363786	"sg_plDom"
"428"	"radijs"	"s1"	1	431	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	930	"radijs"	1004	"radKs"	5	"nom"	"-"	"yes"	"radK"	"0.47"	"radKs"	"0.71"	6	"2"	2	"dKs"	"no"	"yes"	"underived"	731	"-"	"sing"	"-"	31	48	1	8	3.58666666667	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	5	"radKs"	"31.0"	"31.0"	NA	31	31	31	1	0	"-"	3.46573590279973	3.46573590279973	2.89037175789616	6.83625927727707	6.91274282049318	6.59578051396131	6.06842558824411	1	0	0	0	3.46573590279973	3.46573590279973	3.46573590279973	-0.168604050298254	0.315993534654464	0.732434227523989	-4.4111795970958	0.395377430310041	-3.46728698790482	3.46573590279973	"sg_plDom"
"469"	"ramsj"	"s1"	1	473	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"incorrect"	1290	"ramsj"	997	"rAmS"	4	"nom"	"-"	"yes"	"rAmS"	"0.56"	"rAmS"	"0.56"	5	"1"	1	"rAmS"	"yes"	"yes"	"underived"	579	"present"	"sing"	"1,2"	3	3	4	4	1.50666666667	"46"	"49"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"rAmS"	"0.0"	"0.0"	NA	3	3	3	1	0	"-"	1.38629436111989	1.38629436111989	0	7.16317239084664	6.90575327631146	6.36302810354046	6.16120732169508	1	0	0	0	1.38629436111989	1.38629436111989	1.38629436111989	-0.175593594479966	0.0832411242336182	0.825215960974955	-6.49062113877564	-1.6840641113698	-5.54672852958466	1.38629436111989	"sg_plDom"
"521"	"twijg"	"s1"	1	525	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1339	"twijg"	895	"twKx"	4	"nom"	"-"	"yes"	"twKx"	"0.58"	"twKx"	"0.58"	5	"1"	1	"twKx"	"yes"	"yes"	"underived"	603	"-"	"sing"	"-"	40	195	0	12	3	"1"	"2"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"twKx"	"40.0"	"40.0"	NA	40	40	40	1	0	"-"	3.71357206670431	3.71357206670431	7.03085747611612	7.20042489294496	6.79794041297493	6.40357419793482	6.26530121273771	1	0	0	0	3.71357206670431	3.71357206670431	3.71357206670431	-0.2834064578165	0.123787218627968	0.929309852017588	-4.16334343319122	0.643213594214622	-3.21945082400024	3.71357206670431	"sg_plDom"
"547"	"riool"	"s1"	1	551	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	805	"riool"	1397	"rijol"	5	"nom"	"-"	"yes"	"rijo"	"0.387"	"rijo"	"0.387"	5	"2"	1	"jol"	"no"	"yes"	"underived"	526	"-"	"sing"	"-"	81	112	4	19	4.4	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"rijol"	"81.0"	"81.0"	NA	81	81	81	1	0	"-"	4.40671924726425	4.40671924726425	3.46573590279973	6.69208374250663	7.24279792279376	6.26720054854136	6.31354804627709	1	0	0	0	4.40671924726425	4.40671924726425	4.40671924726425	0.161451052002326	-0.0125864307654844	0.977556685556973	-3.47019625263128	1.33636077477457	-2.5263036434403	4.40671924726425	"sg_plDom"
"548"	"sardien"	"s1"	1	552	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1012	"sardien"	805	"sArdin"	6	"nom"	"-"	"yes"	"[end]"	"0.6"	"sArdi"	"0.45"	7	"2"	2	"din"	"no"	"yes"	"underived"	623	"-"	"sing"	"-"	0	29	0	2	2.98666666667	"1"	"1"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	5	"sArdin"	"0.0"	"0.0"	NA	0	0	0	1	0	"-"	0	0	4.89783979995091	6.92067150424868	6.69208374250663	6.43615036836943	6.31535800152233	1	0	0	0	0	0	0	-0.389263128284802	0.156363389062581	0.979366640802213	-7.87691549989553	-3.07035847248969	-6.93302289070455	0	"sg_plDom"
"602"	"reptielen"	"s10"	1	46	23	"male"	"right"	"west-brabant"	"no"	"propedeuse"	"word"	"correct"	1136	"reptiel"	965	"rEptil@"	7	"nom"	"-"	"yes"	"rEpt"	"0.32"	"rEptil@"	"0.58"	9	"3"	3	"ti"	"no"	"no"	"underived"	596	"-"	"plur"	"-"	96	0	5	9	3.85333333333	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	7	"rEptil"	"96.0"	"40.0"	NA	96	40	0	1	0	"en"	4.57471097850338	3.71357206670431	0	7.03614849375054	6.87316383421252	6.3919171133926	3.85014760171006	0	1	1	1	3.71357206670431	0	4.57471097850338	-0.208183036578912	0.112130134085755	-1.48584375901006	-4.16334343319122	-3.07035847248969	-2.35831191220117	0	"pl_sgDom"
"642"	"magazijn"	"s10"	1	86	23	"male"	"right"	"west-brabant"	"no"	"propedeuse"	"word"	"correct"	867	"magazijn"	1279	"mAGazKn"	7	"nom"	"-"	"no"	"mAxa"	"0.2"	"mAGazKn"	"0.63"	8	"3"	3	"zKn"	"no"	"yes"	"underived"	650	"-"	"sing"	"-"	231	317	26	45	4.61333333333	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	0	0	7	"mAGazKn"	"231.0"	"231.0"	NA	231	231	231	1	0	"-"	5.44673737166631	5.44673737166631	4.46590811865458	6.76619171466035	7.15461535691366	6.47850964220857	4.46590811865458	1	0	0	0	5.44673737166631	5.44673737166631	5.44673737166631	0.0732684861222328	0.198722662901722	-0.870083242065538	-2.43017812822922	2.37637889917662	-1.48628551903824	5.44673737166631	"sg_plDom"
"651"	"radijs"	"s10"	1	95	23	"male"	"right"	"west-brabant"	"no"	"propedeuse"	"word"	"correct"	1070	"radijs"	1965	"radKs"	5	"nom"	"-"	"yes"	"radK"	"0.47"	"radKs"	"0.71"	6	"2"	2	"dKs"	"no"	"yes"	"underived"	731	"-"	"sing"	"-"	31	48	1	8	3.58666666667	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	5	"radKs"	"31.0"	"31.0"	NA	31	31	31	1	0	"-"	3.46573590279973	3.46573590279973	2.89037175789616	6.97634807044775	7.58375630070711	6.59578051396131	4.56434819146784	1	0	0	0	3.46573590279973	3.46573590279973	3.46573590279973	0.502409429915682	0.315993534654464	-0.771643169252286	-4.4111795970958	0.395377430310041	-3.46728698790482	3.46573590279973	"sg_plDom"
"660"	"kristal"	"s10"	1	104	23	"male"	"right"	"west-brabant"	"no"	"propedeuse"	"word"	"correct"	1225	"kristal"	1281	"krIstAl"	7	"nom"	"-"	"yes"	"krIst"	"0.36"	"krIstA"	"0.457"	7	"2"	2	"tAl"	"no"	"yes"	"underived"	633	"-"	"sing"	"-"	122	219	11	28	3.90666666667	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	6	"krIstAl"	"122.0"	"122.0"	NA	122	122	122	1	0	"-"	4.81218435537242	4.81218435537242	9.8777594039634	7.11151211649616	7.15617663748062	6.45204895443723	4.65396035015752	1	0	0	0	4.81218435537242	4.81218435537242	4.81218435537242	0.0748297666891853	0.172261975130379	-0.682031010562599	-3.06473114452311	1.74182588288273	-2.12083853533213	4.81218435537242	"sg_plDom"
